,target,output
2021-06-22,6.34,6.2352595
2021-06-23,6.36,6.246046
2021-06-24,6.39,6.155036
2021-06-25,6.39,6.1709538
2021-06-28,6.33,6.126256
2021-06-29,6.19,6.09717
2021-06-30,6.24,6.1637745
2021-07-01,6.07,6.1235766
2021-07-02,6.03,6.103818
2021-07-05,6.04,6.1903353
2021-07-06,6.16,6.3474083
2021-07-07,6.17,6.3584423
2021-07-08,6.3,6.37368
2021-07-09,6.31,6.344191
2021-07-12,6.36,6.3138638
2021-07-13,6.4,6.2885256
2021-07-14,6.54,6.314713
2021-07-15,6.32,6.246806
2021-07-16,6.48,6.207114
2021-07-19,6.37,6.2268586
2021-07-20,6.28,6.2118287
2021-07-21,6.2,6.161549
2021-07-22,6.23,6.053299
2021-07-23,6.07,6.0551915
2021-07-26,5.94,6.1031275
2021-07-27,5.92,6.125762
2021-07-28,5.68,6.083731
2021-07-29,5.74,6.070165
2021-07-30,5.74,6.03648
2021-08-02,5.9,6.0630703
2021-08-03,5.81,6.008209
2021-08-04,5.83,6.0152655
2021-08-05,5.8,5.9209633
2021-08-06,5.77,5.9023075
2021-08-09,5.87,5.7983513
2021-08-10,5.89,5.822257
2021-08-11,5.88,5.8027086
2021-08-12,5.87,5.831259
2021-08-13,5.78,5.7550683
2021-08-16,5.78,5.8658724
2021-08-17,5.64,5.689989
2021-08-18,5.67,5.708383
2021-08-19,5.78,5.624714
2021-08-20,5.7,5.6566763
2021-08-23,5.68,5.6908264
2021-08-24,5.61,5.716319
2021-08-25,5.62,5.738363
2021-08-26,5.58,5.6996145
2021-08-27,5.7,5.6707363
2021-08-30,5.8,5.7318
2021-08-31,5.82,5.9022226
2021-09-01,5.78,5.9067936
2021-09-02,5.87,5.930596
2021-09-03,5.82,6.016715
2021-09-06,5.81,6.000881
2021-09-07,5.8,6.230195
2021-09-08,5.96,6.2320795
2021-09-09,5.92,6.270259
2021-09-10,5.91,6.2209315
2021-09-13,5.82,6.2056065
2021-09-14,5.71,5.9839363
2021-09-15,5.66,6.1005025
2021-09-16,5.7,5.7819767
2021-09-17,5.61,5.7173615
2021-09-22,5.44,5.410677
2021-09-23,5.41,5.310949
2021-09-24,5.22,5.2296596
2021-09-27,5.28,5.299124
2021-09-28,5.2,5.2409515
2021-09-29,5.03,5.2415066
2021-09-30,5.05,5.202714
2021-10-08,5.31,5.180932
2021-10-11,5.22,5.352351
2021-10-12,5.23,5.3748016
2021-10-13,5.25,5.5678253
2021-10-14,5.2,5.5349684
2021-10-15,5.13,5.2476435
2021-10-18,5.09,5.4678535
2021-10-19,5.1,5.6495485
2021-10-20,5.05,5.503044
2021-10-21,4.98,5.3502684
2021-10-22,4.97,5.1748023
2021-10-25,4.94,5.1811295
2021-10-26,4.95,5.077158
2021-10-27,4.85,5.0530844
2021-10-28,4.87,5.0539694
2021-10-29,4.91,5.0784264
2021-11-01,4.98,5.0568376
2021-11-02,4.86,5.0656395
2021-11-03,5.04,5.087473
2021-11-04,5.04,5.0733933
2021-11-05,5.01,5.1090565
2021-11-08,4.99,5.0561357
2021-11-09,5.01,5.091418
2021-11-10,5.0,5.041773
2021-11-11,5.05,5.027224
2021-11-12,5.02,5.040801
2021-11-15,5.0,5.041504
2021-11-16,5.01,5.0500355
2021-11-17,4.96,5.0299873
2021-11-18,4.89,5.0634823
2021-11-19,4.93,5.0089507
2021-11-22,5.0,5.0297823
2021-11-23,5.0,5.010832
2021-11-24,5.02,5.0303307
2021-11-25,4.96,5.0410805
2021-11-26,4.91,5.0660167
2021-11-29,4.84,5.0189075
2021-11-30,4.82,5.003833
2021-12-01,4.88,5.0060253
2021-12-02,4.85,4.9795046
2021-12-03,4.87,4.950349
2021-12-06,4.86,4.9828844
2021-12-07,4.85,4.9750624
2021-12-08,4.86,4.973341
2021-12-09,5.09,5.05713
2021-12-10,5.16,5.1202006
2021-12-13,5.15,5.1769795
2021-12-14,5.08,5.177932
2021-12-15,5.07,5.175203
2021-12-16,5.09,5.1782455
2021-12-17,5.05,5.17387
2021-12-20,4.98,5.1535196
2021-12-21,5.01,5.130048
2021-12-22,4.99,5.082567
2021-12-23,5.0,5.021084
2021-12-24,4.95,5.046802
2021-12-27,4.95,5.086409
2021-12-28,4.96,4.987254
2021-12-29,4.93,5.014768
2021-12-30,5.06,5.0435667
2021-12-31,5.05,5.15242
2022-01-04,5.08,5.0882034
2022-01-05,5.12,5.1410418
2022-01-06,5.06,5.123486
2022-01-07,5.15,5.1149497
2022-01-10,5.18,5.1664715
2022-01-11,5.08,5.1688423
2022-01-12,5.09,5.1586456
2022-01-13,5.03,5.1200123
2022-01-14,4.97,5.0875816
2022-01-17,5.0,5.0749497
2022-01-18,4.99,5.1010714
2022-01-19,4.96,5.049745
2022-01-20,4.95,5.0494375
2022-01-21,4.99,5.0403395
2022-01-24,4.97,5.050069
2022-01-25,4.87,5.0496716
2022-01-26,4.9,5.0745773
2022-01-27,4.82,5.0250034
2022-01-28,4.85,4.989703
2022-02-07,4.93,5.0217943
2022-02-08,4.98,5.0867224
2022-02-09,5.01,5.0352283
2022-02-10,5.0,5.078741
2022-02-11,5.0,5.04383
2022-02-14,4.93,5.0221157
2022-02-15,4.92,5.067415
2022-02-16,4.93,5.050685
2022-02-17,4.91,5.03118
2022-02-18,4.91,4.9652653
2022-02-21,4.96,4.986456
2022-02-22,4.89,5.006166
2022-02-23,4.91,4.9495587
2022-02-24,4.77,4.889501
2022-02-25,4.79,4.9413137
2022-02-28,4.7,4.96747
2022-03-01,4.7,4.9830384
2022-03-02,4.69,4.9242277
2022-03-03,4.7,5.001499
2022-03-04,4.65,4.943806
2022-03-07,4.51,3.9548638
2022-03-08,4.32,3.8059874
2022-03-09,4.24,3.8136559
2022-03-10,4.39,3.8349948
2022-03-11,4.44,3.8300276
2022-03-14,4.36,3.9501605
2022-03-15,4.12,3.7501867
2022-03-16,4.25,4.058896
2022-03-17,4.26,4.039562
2022-03-18,4.3,4.1190615
2022-03-21,4.29,4.107562
2022-03-22,4.31,4.1966944
2022-03-23,4.31,4.161113
2022-03-24,4.26,4.275358
2022-03-25,4.23,4.1511335
2022-03-28,4.25,4.2674794
2022-03-29,4.21,4.2650633
2022-03-30,4.35,4.276621
2022-03-31,4.31,3.9997478
2022-04-01,4.31,3.918704
2022-04-06,4.3,4.134976
2022-04-07,4.19,3.791083
2022-04-08,4.2,3.8284895
2022-04-11,4.08,3.7642672
2022-04-12,4.18,3.7872863
2022-04-13,4.14,3.8024938
2022-04-14,4.14,3.8192086
2022-04-15,4.11,3.7977548
2022-04-18,4.12,3.883901
2022-04-19,4.09,3.8337197
2022-04-20,4.06,3.861011
2022-04-21,3.95,3.8520944
2022-04-22,3.97,3.801107
2022-04-25,3.75,3.7585583
2022-04-26,3.67,3.7253735
2022-04-27,3.77,3.628357
2022-04-28,3.74,3.6187139
2022-04-29,3.8,3.8107865
2022-05-05,3.78,3.8329372
2022-05-06,3.67,3.7400837
2022-05-09,3.68,3.733186
2022-05-10,3.7,3.7037196
2022-05-11,3.83,3.8132286
2022-05-12,3.82,3.715763
2022-05-13,3.82,3.6716595
2022-05-16,3.84,3.6766481
2022-05-17,3.84,3.7165794
2022-05-18,3.84,3.678033
2022-05-19,3.85,3.6425269
2022-05-20,3.94,3.7307444
2022-05-23,3.91,3.6957176
2022-05-24,3.84,3.6692686
2022-05-25,3.88,3.6823893
2022-05-26,3.93,3.734728
2022-05-27,3.93,3.7114735
2022-05-30,3.74,3.7087307
2022-05-31,3.79,3.8699214
2022-06-01,3.77,3.8396387
2022-06-02,3.76,3.6951184
2022-06-06,3.79,3.6845837
2022-06-07,3.76,3.6826844
2022-06-08,3.74,3.7580345
2022-06-09,3.68,3.765657
2022-06-10,3.71,3.786162
2022-06-13,3.66,3.646119
2022-06-14,3.69,3.7398758
2022-06-15,4.02,3.849838
2022-06-16,3.9,3.8766735
2022-06-17,3.88,3.8427405
2022-06-20,3.88,3.8632302
2022-06-21,3.88,3.8633695
2022-06-22,3.82,3.7961605
2022-06-23,3.87,3.8435276
2022-06-24,3.89,3.8109195
2022-06-27,3.9,3.84451
2022-06-28,3.99,3.8599896
2022-06-29,3.92,3.8747983
2022-06-30,3.94,3.8688953
2022-07-01,3.93,3.9484153
2022-07-04,3.89,3.8969839
2022-07-05,3.86,3.8873253
2022-07-06,3.86,3.8595722
2022-07-07,3.93,3.8813958
2022-07-08,3.92,3.8829336
2022-07-11,3.87,3.9128165
2022-07-12,3.84,3.8933287
2022-07-13,3.85,3.8358982
2022-07-14,3.82,3.8043623
2022-07-15,3.74,3.8417726
2022-07-18,3.86,3.9438765
2022-07-19,3.89,3.954875
2022-07-20,3.9,3.9657736
2022-07-21,3.89,3.8706408
2022-07-22,3.89,3.8478065
2022-07-25,3.88,3.9055562
2022-07-26,3.86,3.90091
2022-07-27,3.86,3.884789
2022-07-28,3.91,3.8731298
2022-07-29,3.89,3.8186257
2022-08-01,3.87,3.8702092
2022-08-02,3.75,3.737544
2022-08-03,3.74,3.8737643
2022-08-04,3.75,3.8479042
2022-08-05,3.84,3.845077
2022-08-08,3.86,3.7915335
2022-08-09,3.86,3.7563586
2022-08-10,3.86,3.809651
2022-08-11,3.94,3.8839588
2022-08-12,3.95,3.9957561
2022-08-15,3.94,4.1113453
2022-08-16,3.91,3.7944598
2022-08-17,3.96,3.8245468
2022-08-18,3.96,3.8124332
2022-08-19,3.95,3.8234508
2022-08-22,3.95,3.7823496
2022-08-23,3.91,3.7822123
2022-08-24,3.84,3.7905195
2022-08-25,3.82,3.737929
2022-08-26,3.79,3.78549
2022-08-29,3.78,3.7886596
2022-08-30,3.73,3.7638617
2022-08-31,3.7,3.7781138
2022-09-01,3.62,3.7792025
2022-09-02,3.62,3.8029423
2022-09-05,3.59,3.7283945
2022-09-06,3.66,3.871898
2022-09-07,3.61,3.803968
2022-09-08,3.6,3.807682
2022-09-09,3.62,3.7325788
2022-09-13,3.62,3.740622
2022-09-14,3.55,3.6998544
2022-09-15,3.57,3.7095885
2022-09-16,3.45,3.6107159
2022-09-19,3.38,3.5674534
2022-09-20,3.38,3.733015
2022-09-21,3.4,3.7844515
2022-09-22,3.41,3.7858896
2022-09-23,3.39,3.7103515
2022-09-26,3.32,3.6664557
2022-09-27,3.35,3.6912904
2022-09-28,3.29,3.6254148
2022-09-29,3.24,3.5919485
2022-09-30,3.27,3.5850139
2022-10-10,3.27,3.5939817
2022-10-11,3.26,3.6272335
2022-10-12,3.47,3.6296825
2022-10-13,3.48,3.663804
2022-10-14,3.55,3.6527
2022-10-17,3.65,3.6883328
2022-10-18,3.65,3.713222
2022-10-19,3.59,3.716454
2022-10-20,3.64,3.7217853
2022-10-21,3.6,3.7691245
2022-10-24,3.57,3.740296
2022-10-25,3.57,3.8569877
2022-10-26,3.6,3.7180872
2022-10-27,3.59,3.6938472
2022-10-28,3.51,3.663227
2022-10-31,3.34,3.6515121
2022-11-01,3.49,3.6589553
2022-11-02,3.52,3.690724
2022-11-03,3.47,3.5932734
2022-11-04,3.54,3.442418
2022-11-07,3.59,3.541254
2022-11-08,3.54,3.480721
2022-11-09,3.53,3.537634
2022-11-10,3.48,3.5781755
2022-11-11,3.55,3.5637417
